date, pm25, pm10, o3, no2, so2, co
2020/8/2, 28, , 48, , 2, 3
2020/8/3, 26, , 43, , 3, 5
2020/8/4, 45, , 47, , 3, 5
2020/8/5, 41, , 40, , 4, 5
2020/8/6, 34, , 35, , 3, 6
2020/8/7, 31, , 37, , 4, 3
2020/8/8, 35, , 39, , 2, 3
2020/8/9, 27, , 37, , 2, 3
2020/8/10, 24, , 41, , 3, 4
2020/8/11, 37, , 49, , 5, 5
2020/8/12, 51, , 40, , 5, 7
2020/8/13, 58, , 37, , 4, 7
2020/8/14, 53, , 41, , 4, 7
2020/8/15, 48, , 36, , 3, 7
2020/8/16, 52, , 57, , 2, 6
2020/8/17, 36, , 54, , 5, 7
2020/8/18, 56, , 39, , 2, 5
2020/8/19, 47, , 40, , 2, 3
2020/8/20, 45, , 32, , 3, 5
2020/8/21, 45, , 32, , 3, 4
2020/8/22, 39, , 54, , 4, 6
2020/8/23, 44, , 65, , 2, 5
2020/8/24, 48, , 60, , 4, 6
2020/8/25, 53, , 47, , 4, 5
2020/8/26, 54, , 46, , 4, 5
2020/8/27, 53, , 58, , 4, 4
2020/8/28, 45, , 45, , 4, 6
2020/8/29, 56, , , , , 
2020/7/2, 55, , 25, , 4, 7
2020/7/3, 59, , 22, , 2, 4
2020/7/4, 66, , 25, , 2, 
2020/7/7, 51, , 30, , 4, 
2020/7/8, 57, , 32, , 6, 
2020/7/9, 63, , 35, , 6, 
2020/7/10, 58, , 37, , 5, 4
2020/7/11, 50, , 47, , 4, 6
2020/7/12, 57, , 56, , 3, 3
2020/7/13, 47, , 31, , 3, 6
2020/7/14, 39, , 45, , 6, 7
2020/7/15, 44, , 40, , 3, 3
2020/7/16, 31, , 49, , 3, 2
2020/7/17, 32, , 61, , 3, 2
2020/7/18, 37, , 44, , 2, 2
2020/7/19, 29, , 38, , 2, 2
2020/7/20, 30, , 34, , 3, 3
2020/7/21, 37, , 39, , 5, 6
2020/7/22, 46, , 33, , 5, 6
2020/7/23, 66, , 35, , 4, 5
2020/7/24, 42, , 32, , 4, 8
2020/7/25, 52, , 33, , 4, 8
2020/7/26, 52, , 37, , 2, 7
2020/7/27, 33, , 33, , 3, 7
2020/7/28, 37, , 37, , 7, 4
2020/7/29, 48, , 33, , 6, 6
2020/7/30, 49, , 32, , 5, 5
2020/7/31, 42, , 36, , 3, 4
2020/8/1, 27, , 40, , 2, 4
2020/6/2, 38, , 25, , 2, 5
2020/6/3, 38, , 27, , 3, 6
2020/6/4, 44, , 43, , 3, 6
2020/6/5, 44, , 26, , 3, 6
2020/6/6, 40, , 44, , 2, 4
2020/6/7, 33, , 36, , 2, 3
2020/6/8, 30, , 36, , 2, 5
2020/6/9, 29, , 43, , 3, 7
2020/6/10, 43, , 45, , 3, 8
2020/6/11, 57, , 68, , 3, 6
2020/6/12, 55, , 27, , 3, 8
2020/6/13, 68, , 38, , 5, 9
2020/6/14, 75, , 28, , 2, 6
2020/6/15, 34, , 25, , 2, 6
2020/6/16, 23, , 27, , 4, 8
2020/6/17, 49, , 32, , 3, 6
2020/6/18, 48, , 34, , 3, 5
2020/6/19, 41, , 26, , 3, 7
2020/6/20, 49, , 21, , 2, 5
2020/6/21, 34, , 29, , 2, 4
2020/6/22, 25, , 30, , 3, 5
2020/6/23, 33, , 29, , 5, 6
2020/6/24, 43, , 35, , 4, 7
2020/6/25, 53, , 29, , 4, 7
2020/6/26, 51, , 25, , 4, 8
2020/6/27, 46, , 42, , 3, 7
2020/6/28, 45, , 40, , 2, 7
2020/6/29, 53, , 31, , 4, 8
2020/6/30, 53, , 44, , 3, 7
2020/7/1, 52, , 34, , 3, 7
2020/5/2, 47, , 25, , 1, 5
2020/5/3, 38, , 29, , 1, 5
2020/5/4, 35, , 30, , 2, 5
2020/5/5, 48, , 25, , 2, 5
2020/5/6, 38, , 31, , 2, 5
