#date, pm25, pm10, o3, no2, so2, co
2020/10/2, 36, , 47, , 1, 4
2020/10/3, 55, , 38, , 2, 5
2020/10/4, 67, , 41, , 1, 4
2020/10/5, 42, , 48, , 1, 3
2020/10/6, 40, , 61, , 1, 3
2020/10/7, 41, , 56, , 1, 4
2020/10/8, 50, , 70, , , 4
2020/10/9, 35, , 68, , 1, 4
2020/10/10, 50, , 84, , 1, 4
2020/10/11, 66, , 72, , , 4
2020/10/12, 41, , 65, , , 4
2020/10/13, 40, , 52, , 2, 5
2020/10/14, 57, , 53, , 2, 6
2020/10/15, 63, , 59, , 1, 4
2020/10/16, 51, , 42, , 1, 4
2020/10/17, 47, , 37, , 2, 5
2020/10/18, 53, , 40, , 2, 5
2020/10/19, 52, , 33, , 2, 6
2020/10/20, 71, , 45, , 5, 8
2020/10/21, 77, , 37, , 3, 4
2020/10/22, 47, , 43, , 1, 3
2020/10/23, 43, , 42, , 2, 4
2020/10/24, 49, , 45, , 3, 8
2020/10/25, 69, , 59, , 3, 7
2020/10/26, 72, , 50, , 3, 6
2020/10/27, 76, , 31, , 3, 6
2020/10/28, 84, , 30, , 3, 6
2020/10/29, 65, , 46, , 2, 5
2020/10/30, 60, , 38, , 2, 5
2020/10/31, 66, , 52, , 3, 7
2020/11/1, 69, , 45, , 3, 6
2020/11/2, 64, , 45, , 3, 6
2020/11/3, 64, , 51, , 4, 6
2020/11/4, 63, , 56, , 4, 5
2020/11/5, 82, , 50, , 3, 7
2020/11/6, 106, , 51, , 6, 9
2020/11/7, 98, , 51, , 2, 
2020/11/8, 77, , 64, , 1, 
2020/11/9, 80, , 54, , 2, 4
2020/11/10, 66, , 60, , 8, 6
2020/11/11, 98, , 56, , 9, 5
2020/11/12, 102, , 62, , 5, 5
2020/11/13, 100, , 70, , 5, 6
2020/11/14, 107, , 46, , 8, 6
2020/11/15, 121, , 50, , 3, 5
2020/11/16, 103, , 36, , 9, 8
2020/11/17, 125, , 38, , 7, 6
2020/11/18, 102, , 33, , 5, 6
2020/11/19, 91, , 37, , 10, 6
2020/11/20, 95, , 31, , 3, 6
2020/11/21, 59, , 35, , 5, 8
2020/11/22, 73, , 42, , 5, 8
2020/11/23, 76, , 35, , 3, 6
2020/11/24, 58, , 37, , 1, 3
